1.	HAPPINESS	This was the best summer I have ever experienced.
5.	NO-EMOTION	I've found it but I've also found other tunnels.
9.	NO-EMOTION	Good night friends!!
10.	NO-EMOTION	See yaaaa tomarrow.
14.	NO-EMOTION	The tingling of my fingers.
16.	NO-EMOTION	The fog that replaces my brain.
20.	NO-EMOTION	Almost past the tv.
21.	NO-EMOTION	I can only imagine my face looks like those people who try to throw their soul away.
26.	DISGUST	I hate fucking pills.
28.	NO-EMOTION	I just came back yesterday from California.
29.	HAPPINESS	I had a blast in california hanging out with my family and friends.
30.	HAPPINESS	Thank you to everyone who made me feel at home.
31.	NO-EMOTION	I stayed at my best friends Ginny's house.
33.	HAPPINESS	:) I love ya :)
34.	SURPRISE	My best friend, her grandma doris and my sisterfriend planned a surprise baby shower for me and hailey on saturday.
37.	HAPPINESS	Thank you so much for everyone who came.
38.	HAPPINESS	:) Hailey recieved many gift cards (because I couldn't bring that much on the plane back home) and cute baby clothes and toys!!
39.	HAPPINESS	Thank you everyone!
40.	HAPPINESS	We had a wonderful yummy cake, fruit and veggie treats.
41.	HAPPINESS	My friend Misty brought her cute new baby girl, Jamie!!
42.	HAPPINESS	She is so adorable!!
43.	HAPPINESS	We played fun baby games and caught up on some old times.
44.	HAPPINESS	I had a blast thank you friend!!!!
45.	NO-EMOTION	Here are some pics!!!
46.	HAPPINESS	Thank you guys.
47.	SADNESS	I miss you so much and can't wait to see Ginny, Sister friend and my mom in a couple months!!!
48.	HAPPINESS	Love you
49.	DISGUST	So many lies about who you're talking to, where you're going, what you're doing.
52.	HAPPINESS	The people that just have to send a "hug" and it puts a smile on your face.
54.	NO-EMOTION	You don't know their middle name or the age of their sister.
55.	NO-EMOTION	Yet you know things about them that not even their parents know, and it doesn't matter.
57.	NO-EMOTION	They manage to save you're life without actually ever seeing you.
58.	NO-EMOTION	They don't care how pretty you are or what clothes you wear.
59.	SURPRISE	They are amazing.
60.	HAPPINESS	and I love them.
61.	SADNESS	My life is falling apart and I don't mean online.
62.	SADNESS	I'm becoming a broken toy and now that I have had twelve (I counted) vials of blood drawn, I just feel like I'm compltely useless.
64.	HAPPINESS	I started callin myself Aki-sama XD It's fun.
67.	NO-EMOTION	*flails* At least it's not the unable to say anything gig that I had with Erik.
68.	NO-EMOTION	I want to get to know him and know more about him.
71.	NO-EMOTION	We had one last semester and now we have one this semester.
75.	DISGUST	The Charlotte Observer featured this article about deep-fried Coke a few days ago, which is appaling enough by itself.
76.	DISGUST	(Speaking of deep-fried shit, did you know there was a town in Texas where they take a Snickers bar, wrap it in bacon, and then deep-fry it?)
78.	HAPPINESS	How awesome is this country?
79.	HAPPINESS	Had a lovely birthday yesterday with Alex and Christine.
80.	HAPPINESS	Been seeing so many good friends and refilling my cell-phone contacts.
83.	HAPPINESS	Visiting Bard was like a warm blanket.
86.	HAPPINESS	Earlham is also making me feel more happy than I feel at home.
90.	HAPPINESS	Oh and also, I'm listening to an audio book of "The Time-Traveler's Wife" and loving it.
91.	HAPPINESS	Octoberfest was awesome.
93.	NO-EMOTION	Hellhammer did a lot of family time this event.
95.	NO-EMOTION	When someone fake throws something and you move out of instint so fast, that you have easily been missed, you get made fun of for it.
96.	NO-EMOTION	well, sort of.
97.	NO-EMOTION	My manager also went to throw a fake punch.
98.	NO-EMOTION	The speed was pretty fast, but I was too fast for him, and had it blocked easy.
99.	NO-EMOTION	I didn't even mean to.
100.	NO-EMOTION	All I know was stuff is moving, do this.
103.	NO-EMOTION	I even sometimes think I need more tables.I did get to pick up some tables during the rush.
104.	NO-EMOTION	I made 23% of what I sold last night.
106.	NO-EMOTION	Granted, I did get stiffed once, but thats okay because it happens.
107.	HAPPINESS	I also got a ton of compliments including from a couple of strippers that weren't even mine.
110.	NO-EMOTION	This is how most friday and Saturday nights go.
112.	NO-EMOTION	From now on, to me Friday the thirteenth will mean the opposite of what it means to most people.
113.	HAPPINESS	What a ridiculously awesome time I had yesterday.
114.	HAPPINESS	It must have been all your good lucks and have funs that did it.
115.	NO-EMOTION	And Mr. Dude has agreed to let me take some photos of him.
116.	NO-EMOTION	I didn't get around to it last night, but I will, and he is quite the little photogenic looking type.
117.	SADNESS	Really starting to lose it.
118.	NO-EMOTION	Last night I watched Ricou Browning's bleak exploit actioner Mr. No Legs on my laptop while watching G.H. Clouzot's terse, relentless The Wages of Fear on the plasma.
119.	NO-EMOTION	Lowbrow/highbrow bifurcation, anyone?
120.	NO-EMOTION	To pencil in those few vacant nanosecs I read Dennis Perrin's Mr. Mike: The Life and Work of Michael O'Donoghue.
122.	NO-EMOTION	Earlier, I sped past the finale of Frank Rich's The Greatest Story Ever Sold.
123.	NO-EMOTION	My head is a WMD, and my hard drive is naught but night soil.
124.	SADNESS	Sadness Dept: Just heard on NPR that Gillo Pontecorvo died.
125.	NO-EMOTION	Drat.
126.	NO-EMOTION	Click here for the New York Times' obit.
127.	NO-EMOTION	He directed the seminal Battle of Algiers and shortly thereafter, Burn!, which starred Marlon Brando.
130.	SURPRISE	(I screened it at VSU in '04 for my faculty advisors and they seemed fairly stunned by it.
132.	SURPRISE	Strange.)
133.	NO-EMOTION	Burn!
134.	NO-EMOTION	is far more confounding, but its flaws fail to obsure a provocative subtext.
135.	SADNESS	Ogro is a Franco-era policier and all the more grim for its muted tone and washed-out palette.
136.	NO-EMOTION	Get 'em and watch alongside Click, or New York Minute.
137.	NO-EMOTION	Everything will soon become clear.
138.	NO-EMOTION	Here is a recent interview of Abhishek Bachchan and the man talks about his latest career developments, his dad and of course the remake Sholay: Some excerpts from the MSN site.
139.	NO-EMOTION	On Dad And His Birthday
140.	HAPPINESS	"The most wonderful gift that dad got this birthday was the love ofamitabh-abhishek09.jpg his fans that he gets every year.
141.	NO-EMOTION	But the Legion Of Honour comes a close second."
142.	HAPPINESS	"What a fabulous gift for dad on his birthday!
143.	HAPPINESS	Its fantastic.
144.	NO-EMOTION	Earlier, I believe Satyajit Ray got it.
145.	HAPPINESS	Well, great.
146.	NO-EMOTION	It just shows that Indian cinema is making inroads into the West.
147.	NO-EMOTION	It is high time the world stood up and recognised Indian cinema.
148.	NO-EMOTION	And they are doing precisely that.&quot;
150.	HAPPINESS	We as a family are truly honoured.
151.	HAPPINESS	Its a matter of pride for every Indian when a recognition like this comes to dad from a cinema-savvy country like France."
152.	NO-EMOTION	On Ram Gopal Varma&apos;s Sholay:
153.	HAPPINESS	"I think its a wonderful idea to remake Sholay.
154.	NO-EMOTION	Every filmmaker has the creative right to carry his vision into whatever area he chooses.
157.	NO-EMOTION	But I think Ramus Sholay will be a brilliant interpretation of Ramesh uncle (Sippy)s classic."
158.	NO-EMOTION	"Therell always be naysayers.
159.	HAPPINESS	All I can say is, knowing Ramus abilities from close quarters Im pretty sure even Ramesh uncle will be very proud of the film Ramu makes."
160.	NO-EMOTION	Thats right, only 2 more until showtime!!!
161.	HAPPINESS	The show is coming together awesome.
163.	NO-EMOTION	It will also be very technical as we work out kinks in the show with props and lighting.
166.	NO-EMOTION	I don't know if anyone read the blog I posted last night.
